layer,alpha,mean_active_msa2,median_active_msa2,median_active_reference_action_margin_family,median_joint_margin_ms,qualified_count,zero_raw_residual_count
7,0.25,0.78125,1.0,1.5309398849966156,0.0,32,0
7,0.5,0.78125,1.0,1.5306011730104312,0.0,32,0
7,1.0,0.78125,1.0,1.5288429273451052,0.0,32,0
14,0.25,0.78125,1.0,1.5515624101543022,0.0,32,0
14,0.5,0.78125,1.0,1.5635092787112836,0.0,32,0
14,1.0,0.78125,1.0,1.5700751878107788,0.0,32,0
21,0.25,0.78125,1.0,1.5578944640530235,0.0,32,0
21,0.5,0.78125,1.0,1.5562567128493903,0.0,32,0
21,1.0,0.78125,1.0,1.563082173430725,0.0,32,0
27,0.25,0.78125,1.0,1.555446206527205,0.0,32,0
27,0.5,0.78125,1.0,1.555446206527205,0.0,32,0
27,1.0,0.78125,1.0,1.555446206527205,0.0,32,0
